videoName,videoUrl,videoView
"인공지능, 빅데이터, 번역플랫폼을 활용한 에버트란 고품질 전문가 번역 서비스",https://www.youtube.com/watch?v=F6oRe90HLqg,726회
"인공지능, 빅데이터, 번역플랫폼을 활용한 에버트란 고품질 전문가 번역 서비스 (홍보 동영상_long version)",https://www.youtube.com/watch?v=4kDsibpKG_o,"1,863회"
"인공지능, 빅데이터, 번역플랫폼을 활용한 에버트란 고품질 전문가 번역 서비스 (홍보 동영상_short version)",https://www.youtube.com/watch?v=Cici-7Hm59Q,915회
토리웍스 | 누구나 웹툰을 보고 변경할 수 있는 플랫폼,https://www.youtube.com/watch?v=ZuF9211B5sc,"1,041회"
도라이브 스타트업 : 이정수 플리토 대표 (번역 플랫폼),https://www.youtube.com/watch?v=DL1_kmX4eL0,681회
[영상-AI엑스포] 전문 번역 플랫폼 바벨탑 “구글·파파고 뛰어 넘을 것”,https://www.youtube.com/watch?v=XPwQvCgNl_0,176회
"[키타씨의 무역강의실] 인공지능, 빅데이터, 번역플랫폼을 활용한 고품질 전문가 번역 서비스제안서_무역협회 제휴사 할인혜택 설명회",https://www.youtube.com/watch?v=GBGUX9KD6lw,43회
세계 시장을 꿈꾸는 스타트업 기업 - 소셜네트워크 번역 플랫폼·... / YTN 사이언스,https://www.youtube.com/watch?v=GxTO7SHNLvs,368회
"언어에 날개를 달다! 집단지성 데이타 플랫폼 Flitto 이정수 대표가 생각하는 미래는? Interview with Simon Lee, CEO of Flitto",https://www.youtube.com/watch?v=zvcJO8vG-ec,"2,318회"
인공지능 번역이 한 손에…번역 플랫폼 '플리토',https://www.youtube.com/watch?v=kNBwZTM98JI,"1,063회"
"BOOK CONCERT 긱경제, 플랫폼 노동의 지리학..이재열교수",https://www.youtube.com/watch?v=aSd2LPgUMXQ,24회
"B2C 번역플랫폼 플리토의 B2B사업 진입전략 [ 토크아이티, 플리토]",https://www.youtube.com/watch?v=8PKGZeUAYl0,419회
"쉽게 돈벌기, 맨날 말해줘도 어차피 안함",https://www.youtube.com/watch?v=C1tK28MQlQ0,"494,257회"
번역가 되는 법| 경력이 하나도 없어서 막막하다면 이것부터 해라| 프리랜서 번역가로 첫 발을 내딛을 수 있는 팁 공개,https://www.youtube.com/watch?v=X8wzm-eErWw,"34,950회"
[실제방송] 한국 K팝을 모른다던 호주인들이 BTS를 아냐고 물었을 때의 반응은?,https://www.youtube.com/watch?v=Q6gK77rqylA,"45,589회"
(부업으로 시작했다가) 혼자서 6개월만에 1억 벌고 알게된 6가지,https://www.youtube.com/watch?v=WqyfWyK5CpM,"979,900회"
[지구촌교회] 3. 믿음을 주시는 예수를 바라보자 : 믿음의 사람들의 11가지 특징 | 최성은 담임목사 | 2021.10.06 (2021 추수감사특별저녁부흥회),https://www.youtube.com/watch?v=G_ASfnfmFuA,"12,136회"
크몽에서 과연 내 서비스가 팔릴까? 프리랜서 플랫폼의 현실.,https://www.youtube.com/watch?v=dPCrRBuyFEA,"19,421회"
우주에서 온 번역기 #번역은플리토,https://www.youtube.com/watch?v=XTuaYhOSU3g,"53,796회"
웹툰 번역가라는 직업이 있다고?[한국고용정보원X사물궁이],https://www.youtube.com/watch?v=1VKi4lM7AIk,"44,972회"
무엇이든 고퀄번역! #번역은플리토,https://www.youtube.com/watch?v=PAedEUNEzPY,"20,119회"
전 세계 재능 마켓에서도 내 재능을 판매할 수 있어요_Fiverr 상위노출 및 판매 노하우,https://www.youtube.com/watch?v=p95PLTg1E58,"16,854회"
이 세상이 따라올 수 없는 번역은 Flitto,https://www.youtube.com/watch?v=PPW8h5DXeC8,"141,869회"
"외국어가 당신에게 장벽이 되지 않도록, Flitto",https://www.youtube.com/watch?v=wVXLbl1dI7k,"834,018회"
♬번역은 플리토♬ ver.2,https://www.youtube.com/watch?v=nBQdiB516ZQ,"217,497회"
이 번역은 플리토 입니다,https://www.youtube.com/watch?v=uhzhujK0wyY,"98,222회"
♬번역은 플리토♬,https://www.youtube.com/watch?v=g0p9DChHklg,"1,327,194회"
